label	filename	bytes	sha256
All-mapped gene semantic summary	all_mapped_gene_semantic_summary.tsv	2788159	040434ffe90ff5b80058825aca0bf0723c2ae51b7ac1761db8cb9547823c14d3
All-mapped opportunity metrics	all_mapped_opportunity_metrics_prePAExact.tsv	173786178	3e77f3fd376d24f6bbfed016ee7bb54dcadd430534ad7bcfe612340f47c88dd1
All-mapped ClinVar/MANE variants	all_mapped_clinvar_mane_variants.tsv	114845127	46fb18ed7df8fdad0f6e5fa5373db977f33a6f622f8e123074911bf3d2fe4980
All-mapped low-burden flags	all_mapped_low_burden_interpretation_flags.tsv	340505	b2ee0b51d91dbf88993fda220909084e94c2948d11eaf1e6f69a998d37cee670
All-mapped semantic class summary	all_mapped_semantic_class_summary.tsv	1238	63a72c02a172174434c89969dff87bd9d3035565ef42f8f9a6f5e12ab122b60d
All-mapped unit-type summary	all_mapped_unit_type_summary.tsv	294	435a8a243cf3cad243e7a2109c752a2d77e24662c54f287b8d6bede5860ddcd5
Unique coordinate sensitivity	allmapped_unique_variant_coordinate_sensitivity.tsv	710959	04e5824c6aa5deca9fea040695c2000c6369086eccb3d1644fd0c3684e8c540e
Figure v5 count lock	allmapped_figure_v5_count_lock.tsv	6455	2f3d7e5afdc0e4dc13e6ab6bc5850395c198201005bdbdee9b23cc6047a7d02c
Claim boundary matrix	claim_boundary_matrix_allmapped_v1.tsv	1278	fb58420808d2d93aab8deffae95143ec959d81477def18fb24346414d35f28e4
Browser v4 schema plan	allmapped_browser_v4_schema_plan.tsv	2044	43d97e260a5e67095620f64a8141c7b6350162136497068e7e12468f4055e030
Gene index v4	gene_index_v4_allmapped.tsv	1244046	70ee54f3365381b9324a1866ced619bcb1ff38a999648ce363bbe6b442d60352
Glossary terms v4	glossary_terms_v4.tsv	1667	221b839403eaec4e87aacb623af515b3f74130f2fc735fb5a3a0986aa43c6910
Class interpretation guide v4	class_interpretation_guide_v4.tsv	2403	868b634b504cc250dbb02bc754ce3a349fab834434cd358ed2bad6b83e59b11d
