semantic_class_prePAExact	label	meaning	not_meaning
low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	The gene was enumerated, but ClinVar P/LP record count is too sparse for robust architecture interpretation.	This is not a negative result and not an impossibility call.
compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	A downstream-CDS transcript-unit hypothesis captures high record coverage with nominally compact donor burden.	This is not a functional rescue claim; splice, isoform, dosage, NMD, and protein rescue are not modeled.
high_coverage_downstream_CDS_but_donor_or_context_burden	High-coverage context-burden opportunity	Theoretical coverage can be high, but interpretation depends on donor size, splice context, dosage, or transcript assumptions.	High record coverage is not patient coverage or therapeutic suitability.
compact_adjacent_exon_block_opportunity	Compact exon/block opportunity	An adjacent exon/block unit captures a meaningful fraction of record burden.	This is not a final molecular design or mode recommendation.
large_gene_or_donor_burden_stress_case	Donor-burden stress	High theoretical coverage may require large donor span or complex transcript context.	This is not impossible; it means donor and evidence burden dominate interpretation.
cancer_or_tumor_predisposition_high_burden_control	Tumor-predisposition control/caution	A high-burden tumor-predisposition gene retained as control/caution rather than replacement suitability.	This is not a therapeutic replacement claim.
single_exon_hotspot_opportunity	Single-exon hotspot opportunity	A single exon captures a high fraction of mapped P/LP records.	This is not a final target nomination.
diffuse_or_moderate_replacement_opportunity	Diffuse/moderate opportunity	No compact high-coverage architecture dominates in the current all-mapped interpretation.	This does not exclude future curated interpretation.
repeat_or_mechanism_complex_replacement_case	Mechanism-complex limitation	Repeat, noncoding, splice-dominant, or mechanism-complex biology limits VCF-based record interpretation.	This is not a final designability decision.
mapping_or_locus_complex_primary_candidate_with_caution	Mapping/locus-complex caution	Transcript or locus complexity requires caution before interpreting replacement opportunity.	This is not a negative result.
